Model,Price,Performance,Brand,Popularity,Cores
1200,87.00,2838,AMD,0.2,4
3200G,91.97,3236,AMD,0.1,4
1600X,278.39,5704,AMD,0.6,6
2600,162.00,5851,AMD,3.9,6
2600X,195.00,6071,AMD,2.2,6
3400G,149.99,3952,AMD,0.1,4
3600,172.39,7007,AMD,7.1,6
3600X,199.99,7187,AMD,2.5,6
1700,309.99,7492,AMD,1.0,8
1700X,339.99,7678,AMD,0.7,8
1800X,463.99,7850,AMD,0.5,8
2700,339.98,7560,AMD,1.1,8
2700X,311.99,8331,AMD,4.5,8
3700X,294.14,9710,AMD,7.5,8
3800X,338.99,9950,AMD,2.4,8
3900X,424.99,12259,AMD,3.8,12
3950X,719.99,13451,AMD,0.8,16
Threadripper 1900X,195.00,7717,AMD,0.1,8
Threadripper 1920X,268.06,9140,AMD,0.1,12
Threadripper 1950X,754.99,9458,AMD,0.2,16
Threadripper 2920X,472.86,8947,AMD,0.1,12
Threadripper 2950X,765.81,9774,AMD,0.2,16
Threadripper 2990WX,1432.65,7669,AMD,0.0,32
Threadripper 3960X,1349.99,12445,AMD,0.1,24
Threadripper 3970X,1899.99,11263,AMD,0.1,32
i3-8100 ,111.00,3431,Intel,0.2,4
i3-8350K ,191.55,4180,Intel,0.1,4
i3-9100F ,76.93,3795,Intel,0.2,4
i5-8400 ,179.99,5134,Intel,0.7,6
i5-8500 ,289.85,5216,Intel,0.2,6
i5-8600 ,365.58,5512,Intel,0.1,6
i5-8600K ,243.62,5972,Intel,1.1,6
i5-9400 ,168.15,5165,Intel,0.1,6
i5-9400F ,149.99,5263,Intel,1.3,6
i5-9600K ,189.99,6013,Intel,1.9,6
i5-9600KF ,194.99,6069,Intel,0.6,6
i7-8086K ,698.70,8197,Intel,0.5,6
i7-8700 ,247.99,7336,Intel,1.3,6
i7-8700K ,423.24,7923,Intel,4.5,6
i7-9700 ,339.99,7313,Intel,0.3,8
i7-9700F ,319.99,7360,Intel,0.2,8
i7-9700K ,379.99,8092,Intel,5.0,8
i7-9700KF ,359.99,8106,Intel,0.5,8
i7-9800X ,619.24,9913,Intel,0.1,8
i9-10980XE ,999.99,12389,Intel,0.0,18
i9-9900 ,464.99,10413,Intel,0.1,8
i9-9900K ,514.89,10978,Intel,6.4,8
i9-9900KF ,499.99,11028,Intel,1.1,8
i9-9900KS ,1499.99,11730,Intel,0.8,8
i9-9900X ,998.00,10696,Intel,0.1,10
i9-9920X ,799.00,10963,Intel,0.0,12
i9-9940X ,754.06,11709,Intel,0.0,14
i9-9960X ,999.99,12009,Intel,0.0,16
Pentium G4400,65.59,1604,Intel,0.0,2
Pentium G4560,59.98,2190,Intel,0.1,2
Pentium G4600,255.24,2258,Intel,0.0,2
Pentium Gold G5400,59.85,2305,Intel,0.0,2
